company,address,report publication year,internal manufacturing site
Fujikura Ltd.,"1/80 Moo 5, Rojana Industrial Park, Rojana Road, Tambol Kanham, Amphur U-Thai, Pranakorn, Ayutthaya Thailand",2013,TRUE
Fujikura Ltd.,"101/2 Moo 20, Navanakorn Industrial Zone, Phaholyothin Road, Tambol Klong-Nueng, Klongluang, Pathumthani Thailand",2013,TRUE
Fujikura Ltd.,"14 Matsuyama-cho Moka, Tochigi Japan",2013,TRUE
Fujikura Ltd.,"Building 56 A, Nu Ri Ying North Road Waigaoqiao Free Trade Zone Shanghai, China",2013,TRUE
Fujikura Ltd.,"No. 888 Zhaoxian Road, Jiading Industrial Zone,Shanghai, China",2013,TRUE
Fujikura Ltd.,"Navanakorn Industrial Estate 55/25 Moo 13, T. Khlong - Nueng, A. Klong - Luang Klongluang, Pathumthani Thailand",2013,TRUE
Furukawa Electric Co. Ltd,"No. 169, Pu Tian Road, Wei Ting Town, Suzhou Industrial Zone Suzhou, Jiangsu China",2013,TRUE
"Genius Electronic Optical Co., Ltd.","1 Keya East Road, Daya District, Taichung Central Taiwan Science Park Taichung, Taiwan",2013,TRUE
"Genius Electronic Optical Co., Ltd.","No. 8 Chuangxin Road, Torch Hi-Tech Industrial Zone Xiamen, Fujian China",2013,TRUE
GoerTek Inc.,"No. 268 Dongfang Road, High-Tech Industrial Development District Weifang, Shandong China",2013,TRUE
GoerTek Inc.,"West Changan South Road and North Tengfei Road, Yishui County Linyi, Shandong China",2013,TRUE
Gold Circuit Electronics,"No. 113 Shi Yuan Road,Chung Li Industrial Park Taoyuan, Taiwan",2013,TRUE
Gold Circuit Electronics,"No. 8 Dongnan Road, Changshu Southeast E.D.A.Changshu, Jiangsu China",2013,TRUE
"Hama Naka Shoukin Industry Co., Ltd.","No. 1 Gaoding Road, Kunshan Development Zone Suzhou, Jiangsu China",2013,TRUE
Hanson Metal Factory. Ltd.,"Gan Po Village, Zhen Long, Hui Yang District Huizhou, Guangdong China",2013,TRUE
Hanson Metal Factory. Ltd.,"No. 155 Hua Mei Mid-Road, Huang Ge Keng, Longgang District Shenzhen, Guangdong China",2013,TRUE
Hanson Metal Factory. Ltd.,"No. 5 Industrial Park, Daxin Group, Chen Jiang Town Huizhou, Guangdong China",2013,TRUE
Hanson Metal Factory. Ltd.,"Tangxia Chanjing Village,Xin Xu Town, Hui Yang District Huizhou, Guangdong China",2013,TRUE
Henkel Ag & Co.,"137 Folly Mill Road, Seabrook, New Hampshire USA",2013,TRUE
Henkel Ag & Co.,"18731 Cranwood Parkway, Cleveland, Ohio USA",2013,TRUE
Henkel Ag & Co.,"28 Norfolk Avenue, South Easton, Massachusetts USA",2013,TRUE
Henkel Ag & Co.,"Kirchheimer Street 9 Bopfingan, Germany",2013,TRUE
Henkel Ag & Co.,"No. 90 Zhu Jiang Road, Yantai Economic Technological Development Zone,Yantai, Shandong China",2013,TRUE
Henkel Ag & Co.,"Quilinchini Avenue 9,Sabana Grande, Puerto Rico",2013,TRUE
Heptagon Advanced Micro-Optics Pte Ltd.,"26 Woodlands Loop, Level 1, Singapore",2013,TRUE
Heptagon Advanced Micro-Optics Pte Ltd.,"87 Defu Lane 10, #04-00 Singapore",2013,TRUE
Heptagon Advanced Micro-Optics Pte Ltd.,"Heptagon Micro Optics Pte Ltd. 87 Defu Lane 10, Singapore",2013,TRUE
